031,Arres,Valle de Arán,7
045,Bausen,Valle de Arán,7
057,Bòrdes (Es),Valle de Arán,7
059,Bossòst,Valle de Arán,7
063,Canejan,Valle de Arán,7
121,Les,Valle de Arán,7
025,Naut Aran,Valle de Arán,7
243,Vielha e Mijaran,Valle de Arán,7
247,Vilamòs,Valle de Arán,7
017,Alins,Pallars-Ribagorza,31
024,Alt Àneu,Pallars-Ribagorza,31
039,Baix Pallars,Pallars-Ribagorza,31
082,Espot,Pallars-Ribagorza,31
086,Esterri d'Àneu,Pallars-Ribagorza,31
087,Esterri de Cardós,Pallars-Ribagorza,31
089,Farrera,Pallars-Ribagorza,31
903,Guingueta d'Àneu (La),Pallars-Ribagorza,31
123,Lladorre,Pallars-Ribagorza,31
126,Llavorsí,Pallars-Ribagorza,31
173,Pont de Suert (El),Pallars-Ribagorza,5
183,Rialp,Pallars-Ribagorza,31
201,Sarroca de Bellera,Pallars-Ribagorza,30
202,Senterada,Pallars-Ribagorza,30
208,Soriguera,Pallars-Ribagorza,31
209,Sort,Pallars-Ribagorza,31
221,Tírvia,Pallars-Ribagorza,31
227,Torre de Cabdella (La),Pallars-Ribagorza,30
043,Vall de Boí (La),Pallars-Ribagorza,5
901,Vall de Cardós,Pallars-Ribagorza,31
245,Vilaller,Pallars-Ribagorza,5
005,Alàs i Cerc,Alto Urgel,4
032,Arsèguel,Alto Urgel,4
051,Bellver de Cerdanya,Alto Urgel,4
061,Cabó,Alto Urgel,4
071,Cava,Alto Urgel,4
077,Coll de Nargó,Alto Urgel,4
088,Estamariu,Alto Urgel,4
908,Fígols i Alinyà,Alto Urgel,4
100,Gósol,Alto Urgel,4
910,Josa i Tuixén,Alto Urgel,4
127,Lles de Cerdanya,Alto Urgel,4
139,Montellà i Martinet,Alto Urgel,4
140,Montferrer i Castellbò,Alto Urgel,4
155,Organyà,Alto Urgel,4
030,Pont de Bar (El),Alto Urgel,4
175,Prats i Sansor,Alto Urgel,4
179,Prullans,Alto Urgel,4
185,Ribera d'Urgellet,Alto Urgel,4
913,Riu de Cerdanya,Alto Urgel,4
203,Seu d'Urgell (La),Alto Urgel,4
906,Valls d'Aguilar (Les),Alto Urgel,4
239,Valls de Valira (Les),Alto Urgel,4
909,Vansa i Fórnols (La),Alto Urgel,4
001,Abella de la Conca,Conca,19
904,Castell de Mur,Conca,19
161,Conca de Dalt,Conca,19
098,Gavet de la Conca,Conca,19
115,Isona i Conca Dellà,Conca,19
128,Llimiana,Conca,19
171,Pobla de Segur (La),Conca,19
190,Salàs de Pallars,Conca,19
196,Sant Esteve de la Sarga,Conca,19
215,Talarn,Conca,19
234,Tremp,Conca,19
044,Bassella,Solsonés,41
064,Castellar de la Ribera,Solsonés,41
075,Clariana de Cardener,Solsonés,41
163,Coma i la Pedra (La),Solsonés,41
111,Guixers,Solsonés,41
124,Lladurs,Solsonés,41
129,Llobera,Solsonés,41
136,Molsosa (La),Solsonés,41
146,Navès,Solsonés,41
148,Odèn,Solsonés,41
149,Oliana,Solsonés,41
151,Olius,Solsonés,41
165,Peramola,Solsonés,41
