Alt Camp,3
Alt Empordà,2
Alt Penedès,1
Alt Urgell,4
Alta Ribagorça,4
Anoia,1
Aran,4
Bages,1
Baix Camp,3
Baix Ebre,3
Baix Empordà,2
Baix Llobregat,1
Baix Penedès,3
Barcelonès,1
Berguedà,4
Berguedà,1
Cerdanya,2
Cerdanya,4
Conca de Barberà,3
Garraf,1
Garrigues,4
Garrotxa,2
Gironès,2
Maresme,1
Moianès,1
Montsià,3
Noguera,4
Osona,1
Osona,2
Pallars Jussà,4
Pallars Sobirà,4
Pla d'Urgell,4
Pla de l'Estany,2
Priorat,3
Ribera d'Ebre,3
Ripollès,2
Segarra,4
Segrià,4
Selva,1
Selva,2
Solsonès,4
Tarragonès,3
Terra Alta,3
Urgell,4
Vallès Occidental,1
Vallès Oriental,1
